,0
1174,ATP1A4
1175,CASQ1
1176,PEA15
1177,DCAF8
1178,PEX19
1179,COPA
1180,NCSTN
1181,VANGL2
1182,SLAMF6
1183,CD84
1184,SLAMF1
1185,CD48
1186,SLAMF7
1187,LY9
1188,CD244
1189,ITLN1
1190,ITLN2
1191,F11R
1192,TSTD1
1193,USF1
1194,ARHGAP30
1195,NECTIN4
1196,KLHDC9
1197,PFDN2
1198,NIT1
1199,DEDD
1200,UFC1
1201,USP21
1202,PPOX
1203,B4GALT3
1204,ADAMTS4
1205,NDUFS2
1206,FCER1G
1207,APOA2
1208,TOMM40L
1209,NR1I3
1210,PCP4L1
1211,MPZ
1212,CFAP126
1213,FCGR2A
1214,HSPA6
1215,FCGR3A
1216,FCGR3B
1217,FCGR2B
1218,FCRLA
1219,FCRLB
1220,DUSP12
1221,ATF6
1222,OLFML2B
1223,NOS1AP
1224,SPATA46
1225,C1orf226
1226,SH2D1B
1227,UHMK1
1228,UAP1
1229,DDR2
1230,CCDC190
1231,RGS4
1232,RGS5
1233,NUF2
1234,PBX1
1235,RXRG
1236,LRRC52
1237,MGST3
1238,ALDH9A1
1239,TMCO1
1240,UCK2
1241,FAM78B
1242,POGK
1243,TADA1
1244,ILDR2
1245,MAEL
1246,GPA33
1247,DUSP27
1248,POU2F1
1249,CD247
1250,CREG1
1251,RCSD1
1252,MPZL1
1253,ADCY10
1254,MPC2
1255,DCAF6
1256,GPR161
1257,TIPRL
1258,SFT2D2
1259,TBX19
1260,XCL2
1261,XCL1
1262,DPT
1263,ATP1B1
1264,NME7
1265,BLZF1
1266,CCDC181
1267,SLC19A2
1268,F5
1269,SELP
1270,C1orf112
1271,SELL
1272,SELE
1273,METTL18
1274,SCYL3
1275,KIFAP3
1276,METTL11B
1277,GORAB
1278,PRRX1
1279,MROH9
1280,FMO2
1281,FMO1
1282,FMO4
1283,PRRC2C
1284,MYOCOS
1285,MYOC
1286,VAMP4
1287,EEF1AKNMT
1288,DNM3
1289,PIGC
1290,C1orf105
1291,SUCO
1292,FASLG
1293,TNFSF18
1294,TNFSF4
1295,PRDX6
1296,ANKRD45
1297,TEX50
1298,KLHL20
1299,CENPL
1300,DARS2
1301,ZBTB37
1302,RC3H1
1303,RABGAP1L
1304,TNN
1305,KIAA0040
1306,TNR
1307,COP1
1308,PAPPA2
1309,ASTN1
1310,BRINP2
1311,SEC16B
1312,RASAL2
1313,CLEC20A
1314,TEX35
1315,RALGPS2
1316,ANGPTL1
1317,FAM20B
1318,TOR3A
1319,ABL2
1320,SOAT1
1321,AXDND1
1322,NPHS2
1323,TDRD5
1324,FAM163A
1325,TOR1AIP2
1326,TOR1AIP1
1327,CEP350
1328,QSOX1
1329,LHX4
1330,ACBD6
1331,XPR1
1332,KIAA1614
1333,STX6
1334,IER5
1335,CACNA1E
1336,ZNF648
1337,GLUL
1338,TEDDM1
1339,RNASEL
1340,RGS16
1341,RGS8
1342,NPL
1343,DHX9
1344,SHCBP1L
1345,LAMC1
1346,LAMC2
1347,NMNAT2
1348,SMG7
1349,NCF2
1350,ARPC5
1351,RGL1
1352,APOBEC4
1353,COLGALT2
1354,TSEN15
1355,C1orf21
1356,EDEM3
1357,NIBAN1
1358,RNF2
1359,TRMT1L
1360,SWT1
1361,IVNS1ABP
1362,HMCN1
1363,PRG4
1364,TPR
1365,ODR4
1366,PDC
1367,PTGS2
